sector,parent_sector,year,fiscal_year,fiscal_quarter,total,date
Miscellaneous Sectors,Other Sectors,2017,2017,3,12501833.0,2017-01-01
Miscellaneous Manufacturing,Manufacturing,2017,2017,3,5900110.0,2017-01-01
"Publishing, Broadcasting, and Other Information",,2017,2017,3,6160382.0,2017-01-01
Restaurants,,2017,2017,3,13921839.0,2017-01-01
Engineering & Architectural Services,Professional Services,2017,2017,3,6060622.0,2017-01-01
Retail Trade,,2017,2017,3,22953433.0,2017-01-01
"Elementary, Secondary Schools",Education,2017,2017,3,6852403.0,2017-01-01
Securities / Financial Investments,,2017,2017,3,18483453.0,2017-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2017,2017,3,2420363.0,2017-01-01
Hospitals,Health and Social Services,2017,2017,3,49049265.0,2017-01-01
Unclassified Accounts,,2017,2017,3,1278825.0,2017-01-01
Manufacturing,,2017,2017,3,33547221.0,2017-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2017,2017,3,5767152.0,2017-01-01
Pharmaceuticals,Manufacturing,2017,2017,3,8095143.0,2017-01-01
Sport Teams,,2017,2017,3,5081572.0,2017-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2017,2017,3,12627766.0,2017-01-01
Services to Buildings,Other Sectors,2017,2017,3,2769945.0,2017-01-01
Other Governments,Government,2017,2017,3,584074.0,2017-01-01
Public Utilities,,2017,2017,3,4697646.0,2017-01-01
Transportation and Warehousing,,2017,2017,3,15948280.0,2017-01-01
Other Sectors,,2017,2017,3,35513747.0,2017-01-01
Hotels,,2017,2017,3,2706364.0,2017-01-01
State Government (PA),Government,2017,2017,3,3222701.0,2017-01-01
Management Consulting,Professional Services,2017,2017,3,12368204.0,2017-01-01
"City, School District, Local Quasi Govt.",Government,2017,2017,3,29371246.0,2017-01-01
Education,,2017,2017,3,42817209.0,2017-01-01
Metal Manufacturing,Manufacturing,2017,2017,3,2677370.0,2017-01-01
Government,,2017,2017,3,54117370.0,2017-01-01
Social Services,Health and Social Services,2017,2017,3,9682142.0,2017-01-01
Banking & Credit Unions,,2017,2017,3,12969047.0,2017-01-01
Legal Services,Professional Services,2017,2017,3,26034194.0,2017-01-01
"Real Estate, Rental and Leasing",,2017,2017,3,7667867.0,2017-01-01
Employment/Outsourcing Agencies,Other Sectors,2017,2017,3,8354221.0,2017-01-01
Telecommunication,,2017,2017,3,17110900.0,2017-01-01
Food & Beverage Products,Manufacturing,2017,2017,3,4433559.0,2017-01-01
Insurance,,2017,2017,3,20480373.0,2017-01-01
Computer,Professional Services,2017,2017,3,5298094.0,2017-01-01
Professional Services,,2017,2017,3,64859518.0,2017-01-01
Advertising and Other Professional Services,Professional Services,2017,2017,3,9331252.0,2017-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2017,2017,3,15591583.0,2017-01-01
Health and Social Services,,2017,2017,3,96321477.0,2017-01-01
Security and Investigation Services,Other Sectors,2017,2017,3,2091830.0,2017-01-01
Transportation Equipment,Manufacturing,2017,2017,3,2793613.0,2017-01-01
Other Educational Services,Education,2017,2017,3,3129382.0,2017-01-01
Membership Organizations,Other Sectors,2017,2017,3,9795917.0,2017-01-01
Wholesale Trade,,2017,2017,3,11845911.0,2017-01-01
College and Universities,Education,2017,2017,3,32835424.0,2017-01-01
"Arts, Entertainment, and Other Recreation",,2017,2017,3,3822106.0,2017-01-01
"Chemicals, Petroleum Refining",Manufacturing,2017,2017,3,7227064.0,2017-01-01
Nursing & Personal Care Facilities,Health and Social Services,2017,2017,3,9370720.0,2017-01-01
Federal Government,Government,2017,2017,3,20939350.0,2017-01-01
Insurance,,2016,2017,2,12720250.0,2016-10-01
Professional Services,,2016,2017,2,50339960.0,2016-10-01
"Real Estate, Rental and Leasing",,2016,2017,2,6170653.0,2016-10-01
Education,,2016,2017,2,45120296.0,2016-10-01
"Elementary, Secondary Schools",Education,2016,2017,2,6556140.0,2016-10-01
Employment/Outsourcing Agencies,Other Sectors,2016,2017,2,7724787.0,2016-10-01
Restaurants,,2016,2017,2,12394680.0,2016-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2016,2017,2,12009041.0,2016-10-01
Membership Organizations,Other Sectors,2016,2017,2,9664017.0,2016-10-01
Public Utilities,,2016,2017,2,2849727.0,2016-10-01
"Publishing, Broadcasting, and Other Information",,2016,2017,2,5493892.0,2016-10-01
Legal Services,Professional Services,2016,2017,2,16105652.0,2016-10-01
Wholesale Trade,,2016,2017,2,10240785.0,2016-10-01
"City, School District, Local Quasi Govt.",Government,2016,2017,2,29598403.0,2016-10-01
Advertising and Other Professional Services,Professional Services,2016,2017,2,7648188.0,2016-10-01
Social Services,Health and Social Services,2016,2017,2,9023772.0,2016-10-01
Food & Beverage Products,Manufacturing,2016,2017,2,4185177.0,2016-10-01
Metal Manufacturing,Manufacturing,2016,2017,2,2040393.0,2016-10-01
Other Governments,Government,2016,2017,2,533497.0,2016-10-01
"Chemicals, Petroleum Refining",Manufacturing,2016,2017,2,4271918.0,2016-10-01
Health and Social Services,,2016,2017,2,92188282.0,2016-10-01
Retail Trade,,2016,2017,2,21248489.0,2016-10-01
Transportation Equipment,Manufacturing,2016,2017,2,2536327.0,2016-10-01
Sport Teams,,2016,2017,2,5400485.0,2016-10-01
Management Consulting,Professional Services,2016,2017,2,10063081.0,2016-10-01
Government,,2016,2017,2,45141657.0,2016-10-01
Other Educational Services,Education,2016,2017,2,3060560.0,2016-10-01
Banking & Credit Unions,,2016,2017,2,8012736.0,2016-10-01
"Arts, Entertainment, and Other Recreation",,2016,2017,2,3734716.0,2016-10-01
Nursing & Personal Care Facilities,Health and Social Services,2016,2017,2,9158754.0,2016-10-01
State Government (PA),Government,2016,2017,2,3145036.0,2016-10-01
Hotels,,2016,2017,2,2631033.0,2016-10-01
Other Sectors,,2016,2017,2,33707592.0,2016-10-01
Telecommunication,,2016,2017,2,8653424.0,2016-10-01
Services to Buildings,Other Sectors,2016,2017,2,2973040.0,2016-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2016,2017,2,2170403.0,2016-10-01
Engineering & Architectural Services,Professional Services,2016,2017,2,5786177.0,2016-10-01
Pharmaceuticals,Manufacturing,2016,2017,2,4455896.0,2016-10-01
Construction,,2016,2017,2,16151910.0,2016-10-01
Miscellaneous Manufacturing,Manufacturing,2016,2017,2,5573539.0,2016-10-01
Manufacturing,,2016,2017,2,25233653.0,2016-10-01
Hospitals,Health and Social Services,2016,2017,2,47563198.0,2016-10-01
Unclassified Accounts,,2016,2017,2,1204104.0,2016-10-01
Securities / Financial Investments,,2016,2017,2,9640117.0,2016-10-01
Computer,Professional Services,2016,2017,2,4525677.0,2016-10-01
"Accounting, Auditing, Bookkeeping",Professional Services,2016,2017,2,6211185.0,2016-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2016,2017,2,14433518.0,2016-10-01
Security and Investigation Services,Other Sectors,2016,2017,2,2340802.0,2016-10-01
College and Universities,Education,2016,2017,2,35503596.0,2016-10-01
Miscellaneous Sectors,Other Sectors,2016,2017,2,11004945.0,2016-10-01
Federal Government,Government,2016,2017,2,11864723.0,2016-10-01
Transportation and Warehousing,,2016,2017,2,15122028.0,2016-10-01
Transportation and Warehousing,,2016,2017,1,14458405.0,2016-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2016,2017,1,2112925.0,2016-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2016,2017,1,5810105.0,2016-07-01
Unclassified Accounts,,2016,2017,1,891736.0,2016-07-01
Transportation Equipment,Manufacturing,2016,2017,1,2717380.0,2016-07-01
"Arts, Entertainment, and Other Recreation",,2016,2017,1,3638635.0,2016-07-01
Advertising and Other Professional Services,Professional Services,2016,2017,1,7253269.0,2016-07-01
Telecommunication,,2016,2017,1,9180913.0,2016-07-01
Retail Trade,,2016,2017,1,21051039.0,2016-07-01
"Chemicals, Petroleum Refining",Manufacturing,2016,2017,1,4187822.0,2016-07-01
Management Consulting,Professional Services,2016,2017,1,9593987.0,2016-07-01
College and Universities,Education,2016,2017,1,35342031.0,2016-07-01
Construction,,2016,2017,1,16241133.0,2016-07-01
Restaurants,,2016,2017,1,12559848.0,2016-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2016,2017,1,11168059.0,2016-07-01
Securities / Financial Investments,,2016,2017,1,10046127.0,2016-07-01
Miscellaneous Manufacturing,Manufacturing,2016,2017,1,5446325.0,2016-07-01
Manufacturing,,2016,2017,1,24946156.0,2016-07-01
Computer,Professional Services,2016,2017,1,4235953.0,2016-07-01
Security and Investigation Services,Other Sectors,2016,2017,1,2260134.0,2016-07-01
Services to Buildings,Other Sectors,2016,2017,1,3042370.0,2016-07-01
State Government (PA),Government,2016,2017,1,3022139.0,2016-07-01
Legal Services,Professional Services,2016,2017,1,15141346.0,2016-07-01
"Publishing, Broadcasting, and Other Information",,2016,2017,1,5515525.0,2016-07-01
Social Services,Health and Social Services,2016,2017,1,8972374.0,2016-07-01
Wholesale Trade,,2016,2017,1,10175083.0,2016-07-01
Sport Teams,,2016,2017,1,5868302.0,2016-07-01
"Real Estate, Rental and Leasing",,2016,2017,1,6613010.0,2016-07-01
Education,,2016,2017,1,44454484.0,2016-07-01
Banking & Credit Unions,,2016,2017,1,8194288.0,2016-07-01
"City, School District, Local Quasi Govt.",Government,2016,2017,1,30820203.0,2016-07-01
Membership Organizations,Other Sectors,2016,2017,1,9395738.0,2016-07-01
Metal Manufacturing,Manufacturing,2016,2017,1,2025165.0,2016-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2016,2017,1,14595392.0,2016-07-01
Professional Services,,2016,2017,1,47422303.0,2016-07-01
Employment/Outsourcing Agencies,Other Sectors,2016,2017,1,6892629.0,2016-07-01
Government,,2016,2017,1,65346713.0,2016-07-01
Pharmaceuticals,Manufacturing,2016,2017,1,4685115.0,2016-07-01
Other Sectors,,2016,2017,1,32857914.0,2016-07-01
Other Educational Services,Education,2016,2017,1,2904354.0,2016-07-01
Engineering & Architectural Services,Professional Services,2016,2017,1,5387643.0,2016-07-01
"Elementary, Secondary Schools",Education,2016,2017,1,6208100.0,2016-07-01
Public Utilities,,2016,2017,1,3130791.0,2016-07-01
Health and Social Services,,2016,2017,1,94060014.0,2016-07-01
Hotels,,2016,2017,1,2861501.0,2016-07-01
Miscellaneous Sectors,Other Sectors,2016,2017,1,11267042.0,2016-07-01
Federal Government,Government,2016,2017,1,30935870.0,2016-07-01
Other Governments,Government,2016,2017,1,568501.0,2016-07-01
Food & Beverage Products,Manufacturing,2016,2017,1,3771423.0,2016-07-01
Hospitals,Health and Social Services,2016,2017,1,50068650.0,2016-07-01
Insurance,,2016,2017,1,13906828.0,2016-07-01
Nursing & Personal Care Facilities,Health and Social Services,2016,2017,1,9255539.0,2016-07-01
Transportation Equipment,Manufacturing,2016,2016,4,2934812.0,2016-04-01
"Chemicals, Petroleum Refining",Manufacturing,2016,2016,4,4799227.0,2016-04-01
Sport Teams,,2016,2016,4,3678382.0,2016-04-01
Other Governments,Government,2016,2016,4,544475.0,2016-04-01
Government,,2016,2016,4,42700758.0,2016-04-01
Securities / Financial Investments,,2016,2016,4,14461644.0,2016-04-01
Employment/Outsourcing Agencies,Other Sectors,2016,2016,4,6902001.0,2016-04-01
Health and Social Services,,2016,2016,4,89003798.0,2016-04-01
Advertising and Other Professional Services,Professional Services,2016,2016,4,7415153.0,2016-04-01
Pharmaceuticals,Manufacturing,2016,2016,4,5284073.0,2016-04-01
Professional Services,,2016,2016,4,46348615.0,2016-04-01
Construction,,2016,2016,4,15379654.0,2016-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2016,2016,4,10483909.0,2016-04-01
Transportation and Warehousing,,2016,2016,4,14773508.0,2016-04-01
Other Educational Services,Education,2016,2016,4,3091376.0,2016-04-01
"Arts, Entertainment, and Other Recreation",,2016,2016,4,3554633.0,2016-04-01
Engineering & Architectural Services,Professional Services,2016,2016,4,5453038.0,2016-04-01
Restaurants,,2016,2016,4,12157293.0,2016-04-01
Retail Trade,,2016,2016,4,21914781.0,2016-04-01
Nursing & Personal Care Facilities,Health and Social Services,2016,2016,4,9035183.0,2016-04-01
State Government (PA),Government,2016,2016,4,3102098.0,2016-04-01
Insurance,,2016,2016,4,15392028.0,2016-04-01
Hotels,,2016,2016,4,2653936.0,2016-04-01
Management Consulting,Professional Services,2016,2016,4,8921517.0,2016-04-01
Telecommunication,,2016,2016,4,12312001.0,2016-04-01
Federal Government,Government,2016,2016,4,10550689.0,2016-04-01
Miscellaneous Manufacturing,Manufacturing,2016,2016,4,5637714.0,2016-04-01
Wholesale Trade,,2016,2016,4,10131520.0,2016-04-01
"Elementary, Secondary Schools",Education,2016,2016,4,6626402.0,2016-04-01
Public Utilities,,2016,2016,4,3136277.0,2016-04-01
Membership Organizations,Other Sectors,2016,2016,4,9003219.0,2016-04-01
"City, School District, Local Quasi Govt.",Government,2016,2016,4,28503496.0,2016-04-01
"Real Estate, Rental and Leasing",,2016,2016,4,6277685.0,2016-04-01
Other Sectors,,2016,2016,4,31383321.0,2016-04-01
Legal Services,Professional Services,2016,2016,4,14616194.0,2016-04-01
Security and Investigation Services,Other Sectors,2016,2016,4,1989035.0,2016-04-01
Education,,2016,2016,4,44223139.0,2016-04-01
Unclassified Accounts,,2016,2016,4,1213721.0,2016-04-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2016,2016,4,14142925.0,2016-04-01
"Publishing, Broadcasting, and Other Information",,2016,2016,4,6032827.0,2016-04-01
Services to Buildings,Other Sectors,2016,2016,4,2784015.0,2016-04-01
Hospitals,Health and Social Services,2016,2016,4,46861688.0,2016-04-01
College and Universities,Education,2016,2016,4,34505362.0,2016-04-01
Computer,Professional Services,2016,2016,4,4429896.0,2016-04-01
"Accounting, Auditing, Bookkeeping",Professional Services,2016,2016,4,5512817.0,2016-04-01
Banking & Credit Unions,,2016,2016,4,9457475.0,2016-04-01
Social Services,Health and Social Services,2016,2016,4,8480094.0,2016-04-01
Food & Beverage Products,Manufacturing,2016,2016,4,3685600.0,2016-04-01
Manufacturing,,2016,2016,4,27003983.0,2016-04-01
Miscellaneous Sectors,Other Sectors,2016,2016,4,10705052.0,2016-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2016,2016,4,2218908.0,2016-04-01
Metal Manufacturing,Manufacturing,2016,2016,4,2443648.0,2016-04-01
Hotels,,2016,2016,3,2928101.0,2016-01-01
College and Universities,Education,2016,2016,3,29379669.0,2016-01-01
Engineering & Architectural Services,Professional Services,2016,2016,3,5795813.0,2016-01-01
Management Consulting,Professional Services,2016,2016,3,11812066.0,2016-01-01
Securities / Financial Investments,,2016,2016,3,16763876.0,2016-01-01
State Government (PA),Government,2016,2016,3,3062549.0,2016-01-01
Retail Trade,,2016,2016,3,23361755.0,2016-01-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2016,2016,3,15179439.0,2016-01-01
Other Governments,Government,2016,2016,3,585009.0,2016-01-01
Services to Buildings,Other Sectors,2016,2016,3,2958273.0,2016-01-01
Government,,2016,2016,3,59825909.0,2016-01-01
Computer,Professional Services,2016,2016,3,4613838.0,2016-01-01
Food & Beverage Products,Manufacturing,2016,2016,3,4162572.0,2016-01-01
Security and Investigation Services,Other Sectors,2016,2016,3,2266988.0,2016-01-01
Legal Services,Professional Services,2016,2016,3,25235027.0,2016-01-01
Other Educational Services,Education,2016,2016,3,3211934.0,2016-01-01
Sport Teams,,2016,2016,3,5036610.0,2016-01-01
Metal Manufacturing,Manufacturing,2016,2016,3,2502981.0,2016-01-01
Other Sectors,,2016,2016,3,34126237.0,2016-01-01
Manufacturing,,2016,2016,3,33710066.0,2016-01-01
Construction,,2016,2016,3,16801339.0,2016-01-01
"City, School District, Local Quasi Govt.",Government,2016,2016,3,28535214.0,2016-01-01
Social Services,Health and Social Services,2016,2016,3,9100519.0,2016-01-01
Pharmaceuticals,Manufacturing,2016,2016,3,8167583.0,2016-01-01
"Chemicals, Petroleum Refining",Manufacturing,2016,2016,3,7179787.0,2016-01-01
Banking & Credit Unions,,2016,2016,3,11324928.0,2016-01-01
Federal Government,Government,2016,2016,3,27643138.0,2016-01-01
Nursing & Personal Care Facilities,Health and Social Services,2016,2016,3,9572870.0,2016-01-01
Transportation and Warehousing,,2016,2016,3,15702835.0,2016-01-01
Advertising and Other Professional Services,Professional Services,2016,2016,3,8244750.0,2016-01-01
"Real Estate, Rental and Leasing",,2016,2016,3,7637272.0,2016-01-01
Miscellaneous Sectors,Other Sectors,2016,2016,3,11935228.0,2016-01-01
Wholesale Trade,,2016,2016,3,11709327.0,2016-01-01
Transportation Equipment,Manufacturing,2016,2016,3,2834202.0,2016-01-01
Education,,2016,2016,3,39128056.0,2016-01-01
Employment/Outsourcing Agencies,Other Sectors,2016,2016,3,7739633.0,2016-01-01
Public Utilities,,2016,2016,3,4862410.0,2016-01-01
Professional Services,,2016,2016,3,61384504.0,2016-01-01
Membership Organizations,Other Sectors,2016,2016,3,9226116.0,2016-01-01
"Arts, Entertainment, and Other Recreation",,2016,2016,3,3668258.0,2016-01-01
Restaurants,,2016,2016,3,13454601.0,2016-01-01
Unclassified Accounts,,2016,2016,3,1364913.0,2016-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2016,2016,3,5683011.0,2016-01-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2016,2016,3,12358753.0,2016-01-01
Health and Social Services,,2016,2016,3,93741368.0,2016-01-01
Miscellaneous Manufacturing,Manufacturing,2016,2016,3,6442939.0,2016-01-01
Telecommunication,,2016,2016,3,14305268.0,2016-01-01
"Publishing, Broadcasting, and Other Information",,2016,2016,3,6696960.0,2016-01-01
Hospitals,Health and Social Services,2016,2016,3,47529786.0,2016-01-01
Insurance,,2016,2016,3,21777674.0,2016-01-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2016,2016,3,2420003.0,2016-01-01
"Elementary, Secondary Schools",Education,2016,2016,3,6536454.0,2016-01-01
"Accounting, Auditing, Bookkeeping",Professional Services,2015,2016,2,5432338.0,2015-10-01
"Elementary, Secondary Schools",Education,2015,2016,2,6187420.0,2015-10-01
Transportation and Warehousing,,2015,2016,2,14236940.0,2015-10-01
Miscellaneous Manufacturing,Manufacturing,2015,2016,2,5458329.0,2015-10-01
College and Universities,Education,2015,2016,2,34492315.0,2015-10-01
"Real Estate, Rental and Leasing",,2015,2016,2,6069725.0,2015-10-01
Services to Buildings,Other Sectors,2015,2016,2,2739953.0,2015-10-01
Miscellaneous Sectors,Other Sectors,2015,2016,2,10460143.0,2015-10-01
Food & Beverage Products,Manufacturing,2015,2016,2,3745826.0,2015-10-01
"Publishing, Broadcasting, and Other Information",,2015,2016,2,5835956.0,2015-10-01
Legal Services,Professional Services,2015,2016,2,15074864.0,2015-10-01
Education,,2015,2016,2,43685995.0,2015-10-01
Federal Government,Government,2015,2016,2,21784519.0,2015-10-01
Securities / Financial Investments,,2015,2016,2,9377604.0,2015-10-01
Social Services,Health and Social Services,2015,2016,2,7808033.0,2015-10-01
Public Utilities,,2015,2016,2,2808118.0,2015-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2015,2016,2,13532170.0,2015-10-01
Security and Investigation Services,Other Sectors,2015,2016,2,2020255.0,2015-10-01
Unclassified Accounts,,2015,2016,2,1090268.0,2015-10-01
Computer,Professional Services,2015,2016,2,4161303.0,2015-10-01
"City, School District, Local Quasi Govt.",Government,2015,2016,2,28946525.0,2015-10-01
Metal Manufacturing,Manufacturing,2015,2016,2,1932671.0,2015-10-01
Other Sectors,,2015,2016,2,31242119.0,2015-10-01
Manufacturing,,2015,2016,2,24881194.0,2015-10-01
Hospitals,Health and Social Services,2015,2016,2,47151409.0,2015-10-01
Membership Organizations,Other Sectors,2015,2016,2,8620832.0,2015-10-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2015,2016,2,2373725.0,2015-10-01
"Arts, Entertainment, and Other Recreation",,2015,2016,2,3248762.0,2015-10-01
Insurance,,2015,2016,2,12651309.0,2015-10-01
Other Educational Services,Education,2015,2016,2,3006260.0,2015-10-01
Engineering & Architectural Services,Professional Services,2015,2016,2,5421279.0,2015-10-01
Retail Trade,,2015,2016,2,20201635.0,2015-10-01
State Government (PA),Government,2015,2016,2,3007781.0,2015-10-01
Nursing & Personal Care Facilities,Health and Social Services,2015,2016,2,8745327.0,2015-10-01
Restaurants,,2015,2016,2,12493318.0,2015-10-01
Hotels,,2015,2016,2,2750586.0,2015-10-01
Health and Social Services,,2015,2016,2,88089414.0,2015-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2015,2016,2,10852475.0,2015-10-01
Professional Services,,2015,2016,2,47129972.0,2015-10-01
Construction,,2015,2016,2,15571960.0,2015-10-01
Employment/Outsourcing Agencies,Other Sectors,2015,2016,2,7400936.0,2015-10-01
Government,,2015,2016,2,54303679.0,2015-10-01
Transportation Equipment,Manufacturing,2015,2016,2,2505722.0,2015-10-01
Telecommunication,,2015,2016,2,7981343.0,2015-10-01
Wholesale Trade,,2015,2016,2,10334236.0,2015-10-01
Other Governments,Government,2015,2016,2,564852.0,2015-10-01
Management Consulting,Professional Services,2015,2016,2,10247268.0,2015-10-01
Advertising and Other Professional Services,Professional Services,2015,2016,2,6792920.0,2015-10-01
"Chemicals, Petroleum Refining",Manufacturing,2015,2016,2,4570407.0,2015-10-01
Sport Teams,,2015,2016,2,5711697.0,2015-10-01
Banking & Credit Unions,,2015,2016,2,7659049.0,2015-10-01
Pharmaceuticals,Manufacturing,2015,2016,2,4294513.0,2015-10-01
Legal Services,Professional Services,2015,2016,1,15119700.0,2015-07-01
State Government (PA),Government,2015,2016,1,3005298.0,2015-07-01
Wholesale Trade,,2015,2016,1,9956714.0,2015-07-01
Metal Manufacturing,Manufacturing,2015,2016,1,2007209.0,2015-07-01
Miscellaneous Manufacturing,Manufacturing,2015,2016,1,5880813.0,2015-07-01
Health and Social Services,,2015,2016,1,89359458.0,2015-07-01
College and Universities,Education,2015,2016,1,34332239.0,2015-07-01
Banking & Credit Unions,,2015,2016,1,8446880.0,2015-07-01
Services to Buildings,Other Sectors,2015,2016,1,2998700.0,2015-07-01
Hotels,,2015,2016,1,2566088.0,2015-07-01
Advertising and Other Professional Services,Professional Services,2015,2016,1,6597121.0,2015-07-01
Other Educational Services,Education,2015,2016,1,2938426.0,2015-07-01
"Chemicals, Petroleum Refining",Manufacturing,2015,2016,1,4516550.0,2015-07-01
Transportation and Warehousing,,2015,2016,1,15137455.0,2015-07-01
Other Governments,Government,2015,2016,1,566078.0,2015-07-01
Sport Teams,,2015,2016,1,4785601.0,2015-07-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2015,2016,1,2230181.0,2015-07-01
Miscellaneous Sectors,Other Sectors,2015,2016,1,10079337.0,2015-07-01
Food & Beverage Products,Manufacturing,2015,2016,1,3852994.0,2015-07-01
Government,,2015,2016,1,46382569.0,2015-07-01
Social Services,Health and Social Services,2015,2016,1,8143473.0,2015-07-01
Unclassified Accounts,,2015,2016,1,945327.0,2015-07-01
"City, School District, Local Quasi Govt.",Government,2015,2016,1,29905912.0,2015-07-01
Transportation Equipment,Manufacturing,2015,2016,1,2753193.0,2015-07-01
Nursing & Personal Care Facilities,Health and Social Services,2015,2016,1,8986750.0,2015-07-01
Hospitals,Health and Social Services,2015,2016,1,48162334.0,2015-07-01
"Arts, Entertainment, and Other Recreation",,2015,2016,1,3275794.0,2015-07-01
Management Consulting,Professional Services,2015,2016,1,9748199.0,2015-07-01
"Accounting, Auditing, Bookkeeping",Professional Services,2015,2016,1,5247826.0,2015-07-01
Telecommunication,,2015,2016,1,8984957.0,2015-07-01
Other Sectors,,2015,2016,1,31005135.0,2015-07-01
Securities / Financial Investments,,2015,2016,1,10269905.0,2015-07-01
Restaurants,,2015,2016,1,11985437.0,2015-07-01
Manufacturing,,2015,2016,1,26185965.0,2015-07-01
Pharmaceuticals,Manufacturing,2015,2016,1,4945023.0,2015-07-01
Security and Investigation Services,Other Sectors,2015,2016,1,2107846.0,2015-07-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2015,2016,1,13253411.0,2015-07-01
Federal Government,Government,2015,2016,1,12905283.0,2015-07-01
Construction,,2015,2016,1,15938721.0,2015-07-01
Engineering & Architectural Services,Professional Services,2015,2016,1,5106083.0,2015-07-01
Education,,2015,2016,1,43750234.0,2015-07-01
"Elementary, Secondary Schools",Education,2015,2016,1,6479568.0,2015-07-01
Retail Trade,,2015,2016,1,20669084.0,2015-07-01
Membership Organizations,Other Sectors,2015,2016,1,8863153.0,2015-07-01
Employment/Outsourcing Agencies,Other Sectors,2015,2016,1,6956098.0,2015-07-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2015,2016,1,10813489.0,2015-07-01
"Publishing, Broadcasting, and Other Information",,2015,2016,1,5757994.0,2015-07-01
Computer,Professional Services,2015,2016,1,4053456.0,2015-07-01
"Real Estate, Rental and Leasing",,2015,2016,1,6136998.0,2015-07-01
Insurance,,2015,2016,1,15100027.0,2015-07-01
Public Utilities,,2015,2016,1,2980383.0,2015-07-01
Professional Services,,2015,2016,1,45872386.0,2015-07-01
"Real Estate, Rental and Leasing",,2015,2015,4,6222302.0,2015-04-01
Pharmaceuticals,Manufacturing,2015,2015,4,5413170.0,2015-04-01
Sport Teams,,2015,2015,4,3569361.0,2015-04-01
Transportation and Warehousing,,2015,2015,4,13896535.0,2015-04-01
Education,,2015,2015,4,40045876.0,2015-04-01
Food & Beverage Products,Manufacturing,2015,2015,4,3808566.0,2015-04-01
Public Utilities,,2015,2015,4,2855608.0,2015-04-01
Other Governments,Government,2015,2015,4,695449.0,2015-04-01
Securities / Financial Investments,,2015,2015,4,9217350.0,2015-04-01
Advertising and Other Professional Services,Professional Services,2015,2015,4,6610489.0,2015-04-01
Wholesale Trade,,2015,2015,4,9868779.0,2015-04-01
"Machinery, Electronic, and Other Electric Equipment",Manufacturing,2015,2015,4,2166964.0,2015-04-01
Nursing & Personal Care Facilities,Health and Social Services,2015,2015,4,8456690.0,2015-04-01
Employment/Outsourcing Agencies,Other Sectors,2015,2015,4,6794818.0,2015-04-01
State Government (PA),Government,2015,2015,4,3165696.0,2015-04-01
Health and Social Services,,2015,2015,4,84253899.0,2015-04-01
Telecommunication,,2015,2015,4,11336044.0,2015-04-01
Legal Services,Professional Services,2015,2015,4,14306813.0,2015-04-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2015,2015,4,10134930.0,2015-04-01
Hotels,,2015,2015,4,2840352.0,2015-04-01
Professional Services,,2015,2015,4,43299717.0,2015-04-01
Retail Trade,,2015,2015,4,21304782.0,2015-04-01
Restaurants,,2015,2015,4,11185563.0,2015-04-01
Transportation Equipment,Manufacturing,2015,2015,4,2615366.0,2015-04-01
Other Educational Services,Education,2015,2015,4,2954837.0,2015-04-01
Engineering & Architectural Services,Professional Services,2015,2015,4,4809172.0,2015-04-01
Insurance,,2015,2015,4,13974660.0,2015-04-01
"Arts, Entertainment, and Other Recreation",,2015,2015,4,3229031.0,2015-04-01
Construction,,2015,2015,4,13546867.0,2015-04-01
"Chemicals, Petroleum Refining",Manufacturing,2015,2015,4,5429988.0,2015-04-01
Government,,2015,2015,4,52797074.0,2015-04-01
Federal Government,Government,2015,2015,4,17781629.0,2015-04-01
Banking & Credit Unions,,2015,2015,4,9215670.0,2015-04-01
Management Consulting,Professional Services,2015,2015,4,8492925.0,2015-04-01
Membership Organizations,Other Sectors,2015,2015,4,8423750.0,2015-04-01
Manufacturing,,2015,2015,4,27126444.0,2015-04-01
Miscellaneous Manufacturing,Manufacturing,2015,2015,4,5443986.0,2015-04-01
