dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
Sheriff,15588657.0,2012,Current Projection,Full Year,2012-06-30,Office of the Sheriff,70,Sheriff,4,2012,70
Sinking Fund (Debt Service),201106507.0,2012,Current Projection,Full Year,2012-06-30,Sinking Fund Commission,37,Sinking Fund,4,2012,37
Streets,25862962.0,2012,Current Projection,Full Year,2012-06-30,Streets Department,12,Streets,4,2012,12
Streets Sanitation,89396981.0,2012,Current Projection,Full Year,2012-06-30,Streets: Sanitation,12-S,,4,2012,12
Witness Fees,171518.0,2012,Current Projection,Full Year,2012-06-30,Finance: Witness Fees,35-WF,,4,2012,35
Youth Commission,94080.0,2012,Current Projection,Full Year,2012-06-30,Youth Commission,47,,4,2012,47
Zoning Board of Adjustment,355501.0,2012,Current Projection,Full Year,2012-06-30,Zoning Board of Adjustments,30,ZBA,4,2012,30
Zoning Code Commission,220500.0,2012,Current Projection,Full Year,2012-06-30,Zoning Code Commission,57,,4,2012,57
Art Museum Subsidy,2300000.0,2012,Target Budget,YTD,2012-03-31,Art Museum,34,,3,2012,34
Atwater Kent Museum,205805.0,2012,Target Budget,YTD,2012-03-31,Atwater Kent Museum,18,Atwater Kent,3,2012,18
Auditing (City Controller's Office),5349399.0,2012,Target Budget,YTD,2012-03-31,City Controller's Office,61,,3,2012,61
Board of Building Standards,49702.0,2012,Target Budget,YTD,2012-03-31,L&I: Board of Building and Standards,29,,3,2012,29
Board of Ethics,553696.0,2012,Target Budget,YTD,2012-03-31,Board of Ethics,45,,3,2012,45
Board of L & Review,107711.0,2012,Target Budget,YTD,2012-03-31,L&I: Board of Review,27,,3,2012,27
Board of Revision of Taxes,442804.0,2012,Target Budget,YTD,2012-03-31,Board of Revision of Taxes,63,BRT,3,2012,63
City Commissioners (Election Board),6185021.0,2012,Target Budget,YTD,2012-03-31,City Commissioner's Office,73,City Commissioners,3,2012,73
City Council,11286729.0,2012,Target Budget,YTD,2012-03-31,City Council,01,,3,2012,01
City Planning Commission,1523766.0,2012,Target Budget,YTD,2012-03-31,City Planning Commission,51,,3,2012,51
City Representative,602336.0,2012,Target Budget,YTD,2012-03-31,Office of the City Representative,41,City Rep,3,2012,41
City Treasurer,657394.0,2012,Target Budget,YTD,2012-03-31,Office of the City Treasurer,40,City Treasurer,3,2012,40
Civil Service Commission,127369.0,2012,Target Budget,YTD,2012-03-31,Civil Service Commission,55,,3,2012,55
Commerce,1579407.0,2012,Target Budget,YTD,2012-03-31,Office of the Director of Commerce,42,Commerce,3,2012,42
Commerce-Economic Stimulus,1294448.0,2012,Target Budget,YTD,2012-03-31,Commerce: Economic Stimulus,42-ES,,3,2012,42
Community College Subsidy,25409207.0,2012,Target Budget,YTD,2012-03-31,Finance: Community College Subsidy,35-CC,,3,2012,35
Convention Center Subsidy,15000000.0,2012,Target Budget,YTD,2012-03-31,Commerce: Convention Center Subsidy,42-CC,,3,2012,42
District Attorney,22639682.0,2012,Target Budget,YTD,2012-03-31,District Attorney's Office,69,DAO,3,2012,69
Finance,10687247.0,2012,Target Budget,YTD,2012-03-31,Office of the Director of Finance,35,Finance,3,2012,35
Finance Contribution to the School District,0.0,2012,Target Budget,YTD,2012-03-31,Finance: School District Contribution,35-SD,,3,2012,35
Finance Employee Benefits,906866399.0,2012,Target Budget,YTD,2012-03-31,Finance: Employee Benefits,35-EB,Employee Benefits,3,2012,35
Employee Benefits: Employee Disability,43850421.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Employee Disability,35-EB-DIS,,3,2012,35
Employee Benefits: FICA,48608584.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: FICA,35-EB-FICA,,3,2012,35
Employee Benefits: Flex Cash Payments,666203.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,3,2012,35
Employee Benefits: Group Legal,2843878.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Group Legal,35-EB-GL,,3,2012,35
Employee Benefits: Group Life Insurance,4188917.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,3,2012,35
Employee Benefits: Health / Medical,249998807.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Health/Medical,35-EB-HM,,3,2012,35
Employee Benefits: Pension,444207682.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Pension,35-EB-PEN,,3,2012,35
Employee Benefits: Pension Obligation Bonds,108344240.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,3,2012,35
Employee Benefits: Tool Allowance,91825.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Tool Allowance,35-EB-TA,,3,2012,35
Employee Benefits: Unemployment Compensation,4065842.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,3,2012,35
Employee Benefits: Anticipated Workforce Savings (1),0.0,2012,Target Budget,YTD,2012-03-31,Employee Benefits: Anticipated Workforce Savings,35-EB-AWS,,3,2012,35
Finance PGW Rental Reimbursement,0.0,2012,Target Budget,YTD,2012-03-31,Finance: PGW Reimbursement,35-PGW,,3,2012,35
Fire,135033978.0,2012,Target Budget,YTD,2012-03-31,Fire Department,13,Fire,3,2012,13
First Judicial District,86070563.0,2012,Target Budget,YTD,2012-03-31,First Judicial District,84,FJD,3,2012,84
Fleet Management,37699606.0,2012,Target Budget,YTD,2012-03-31,Office of Fleet Management,25,Fleet,3,2012,25
Fleet Management Vehicle Purchases,6146145.0,2012,Target Budget,YTD,2012-03-31,Fleet: Vehicle Lease/Purchases,25-V,,3,2012,25
Free Library,25102054.0,2012,Target Budget,YTD,2012-03-31,The Free Library of Philadelphia,52,Free Library,3,2012,52
Historical Commission,284761.0,2012,Target Budget,YTD,2012-03-31,Historical Commission,32,,3,2012,32
Hero Award,25000.0,2012,Target Budget,YTD,2012-03-31,Finance: Hero Scholarship Awards,35-HA,,3,2012,35
Human Relations Commission,1441506.0,2012,Target Budget,YTD,2012-03-31,Commission on Human Relations,54,Human Relations,3,2012,54
Human Services,34656016.0,2012,Target Budget,YTD,2012-03-31,Department of Human Services,22,DHS,3,2012,22
Indemnities,26549610.0,2012,Target Budget,YTD,2012-03-31,Finance: Indemnities,35-IN,,3,2012,35
Law,9972173.0,2012,Target Budget,YTD,2012-03-31,Law Department,44,Law,3,2012,44
Legal Services incl. Defender Association,37066187.0,2012,Target Budget,YTD,2012-03-31,MDO: Legal Services,10-LS,,3,2012,10
Licenses and Inspections,15214896.0,2012,Target Budget,YTD,2012-03-31,Department of Licenses and Inspections,26,L&I,3,2012,26
Managing Director (MDO),15890622.0,2012,Target Budget,YTD,2012-03-31,Managing Director's Office,10,MDO,3,2012,10
Mayor,2627617.0,2012,Target Budget,YTD,2012-03-31,Mayor's Office,05,Mayor,3,2012,05
Mayor Office of Arts and Culture,2609486.0,2012,Target Budget,YTD,2012-03-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,3,2012,58
Mayor Office of the Inspector General,927595.0,2012,Target Budget,YTD,2012-03-31,Office of the Inspector General,48,OIG,3,2012,48
Mayor Office of Labor Relations,379142.0,2012,Target Budget,YTD,2012-03-31,Labor,03,,3,2012,03
Mayor Scholarships,183000.0,2012,Target Budget,YTD,2012-03-31,Mayor's Office: Scholarships,05-S,,3,2012,05
Mayor's Office of Community Services,0.0,2012,Target Budget,YTD,2012-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2012,08
Mayor's Office of Transportation,117600.0,2012,Target Budget,YTD,2012-03-31,Mayor's Office of Transportation and Utilities,46,,3,2012,46
Mural Arts Program,812367.0,2012,Target Budget,YTD,2012-03-31,Mural Arts Program,50,Mural Arts,3,2012,50
Off. of Behavioral Hlth.& Intellectual Disability,13881686.0,2012,Target Budget,YTD,2012-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2012,15
Office of Housing and Comm. Developmt.,2520000.0,2012,Target Budget,YTD,2012-03-31,Office of Housing and Community Development,06,,3,2012,06
Office of Human Resources,3711087.0,2012,Target Budget,YTD,2012-03-31,Office of Human Resources,56,OHR,3,2012,56
Office of Innovation and Technology,56668042.0,2012,Target Budget,YTD,2012-03-31,Office of Innovation and Technology,04,OIT,3,2012,04
Office of Property Assessment,6598540.0,2012,Target Budget,YTD,2012-03-31,Office of Property Assessment,59,OPA,3,2012,59
Office of Supportive Housing,36111476.0,2012,Target Budget,YTD,2012-03-31,Office of Homeless Services,24,OHS,3,2012,24
Parks and Recreation,35750605.0,2012,Target Budget,YTD,2012-03-31,Department of Parks and Recreation,16,Parks & Recreation,3,2012,16
Police,383783443.0,2012,Target Budget,YTD,2012-03-31,Police Department,11,Police,3,2012,11
Prisons,190287203.0,2012,Target Budget,YTD,2012-03-31,Philadelphia Prison System,23,Prisons,3,2012,23
Procurement,3042702.0,2012,Target Budget,YTD,2012-03-31,Procurement Department,38,Procurement,3,2012,38
Public Health,94709267.0,2012,Target Budget,YTD,2012-03-31,Department of Public Health,14,Public Health,3,2012,14
Public Property,29547007.0,2012,Target Budget,YTD,2012-03-31,Department of Public Property,20,Public Property,3,2012,20
Public Property SEPTA Subsidy,49770000.0,2012,Target Budget,YTD,2012-03-31,Public Property: SEPTA Subsidy,20-SS,,3,2012,20
Public Property Space Rentals,17284671.0,2012,Target Budget,YTD,2012-03-31,Public Property: Space Rentals,20-SR,,3,2012,20
Public Property Utilities,32540354.0,2012,Target Budget,YTD,2012-03-31,Public Property: Utilities,20-U,,3,2012,20
Records,3169468.0,2012,Target Budget,YTD,2012-03-31,Department of Records,31,Records,3,2012,31
Refunds,187500.0,2012,Target Budget,YTD,2012-03-31,Finance: Refunds,35-R,,3,2012,35
Register of Wills,2359250.0,2012,Target Budget,YTD,2012-03-31,Register of Wills,68,,3,2012,68
Revenue,13935458.0,2012,Target Budget,YTD,2012-03-31,Department of Revenue,36,Revenue,3,2012,36
Sheriff,11137795.0,2012,Target Budget,YTD,2012-03-31,Office of the Sheriff,70,Sheriff,3,2012,70
Sinking Fund (Debt Service),189581566.0,2012,Target Budget,YTD,2012-03-31,Sinking Fund Commission,37,Sinking Fund,3,2012,37
Streets,23442260.0,2012,Target Budget,YTD,2012-03-31,Streets Department,12,Streets,3,2012,12
Streets Sanitation,78284976.0,2012,Target Budget,YTD,2012-03-31,Streets: Sanitation,12-S,,3,2012,12
Witness Fees,128639.0,2012,Target Budget,YTD,2012-03-31,Finance: Witness Fees,35-WF,,3,2012,35
Youth Commission,70560.0,2012,Target Budget,YTD,2012-03-31,Youth Commission,47,,3,2012,47
Zoning Board of Adjustment,254888.0,2012,Target Budget,YTD,2012-03-31,Zoning Board of Adjustments,30,ZBA,3,2012,30
Zoning Code Commission,181088.0,2012,Target Budget,YTD,2012-03-31,Zoning Code Commission,57,,3,2012,57
Art Museum Subsidy,2300000.0,2012,Actual,YTD,2012-03-31,Art Museum,34,,3,2012,34
Atwater Kent Museum,203660.0,2012,Actual,YTD,2012-03-31,Atwater Kent Museum,18,Atwater Kent,3,2012,18
Auditing (City Controller's Office),5144758.0,2012,Actual,YTD,2012-03-31,City Controller's Office,61,,3,2012,61
Board of Building Standards,41751.0,2012,Actual,YTD,2012-03-31,L&I: Board of Building and Standards,29,,3,2012,29
Board of Ethics,479171.0,2012,Actual,YTD,2012-03-31,Board of Ethics,45,,3,2012,45
Board of L & Review,88903.0,2012,Actual,YTD,2012-03-31,L&I: Board of Review,27,,3,2012,27
Board of Revision of Taxes,377284.0,2012,Actual,YTD,2012-03-31,Board of Revision of Taxes,63,BRT,3,2012,63
City Commissioners (Election Board),5957487.0,2012,Actual,YTD,2012-03-31,City Commissioner's Office,73,City Commissioners,3,2012,73
City Council,9829556.0,2012,Actual,YTD,2012-03-31,City Council,01,,3,2012,01
City Planning Commission,1655588.0,2012,Actual,YTD,2012-03-31,City Planning Commission,51,,3,2012,51
City Representative,753213.0,2012,Actual,YTD,2012-03-31,Office of the City Representative,41,City Rep,3,2012,41
City Treasurer,638526.0,2012,Actual,YTD,2012-03-31,Office of the City Treasurer,40,City Treasurer,3,2012,40
Civil Service Commission,125478.0,2012,Actual,YTD,2012-03-31,Civil Service Commission,55,,3,2012,55
Commerce,1400427.0,2012,Actual,YTD,2012-03-31,Office of the Director of Commerce,42,Commerce,3,2012,42
Commerce-Economic Stimulus,1294448.0,2012,Actual,YTD,2012-03-31,Commerce: Economic Stimulus,42-ES,,3,2012,42
Community College Subsidy,25409207.0,2012,Actual,YTD,2012-03-31,Finance: Community College Subsidy,35-CC,,3,2012,35
Convention Center Subsidy,15000000.0,2012,Actual,YTD,2012-03-31,Commerce: Convention Center Subsidy,42-CC,,3,2012,42
District Attorney,21479807.0,2012,Actual,YTD,2012-03-31,District Attorney's Office,69,DAO,3,2012,69
Finance,10443471.0,2012,Actual,YTD,2012-03-31,Office of the Director of Finance,35,Finance,3,2012,35
Finance Contribution to the School District,0.0,2012,Actual,YTD,2012-03-31,Finance: School District Contribution,35-SD,,3,2012,35
Finance Employee Benefits,906866399.0,2012,Actual,YTD,2012-03-31,Finance: Employee Benefits,35-EB,Employee Benefits,3,2012,35
Employee Benefits: Employee Disability,43850421.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Employee Disability,35-EB-DIS,,3,2012,35
Employee Benefits: FICA,48608584.0,2012,Actual,YTD,2012-03-31,Employee Benefits: FICA,35-EB-FICA,,3,2012,35
Employee Benefits: Flex Cash Payments,666203.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,3,2012,35
Employee Benefits: Group Legal,2843878.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Group Legal,35-EB-GL,,3,2012,35
Employee Benefits: Group Life Insurance,4188917.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,3,2012,35
Employee Benefits: Health / Medical,249998807.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Health/Medical,35-EB-HM,,3,2012,35
Employee Benefits: Pension,444207682.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Pension,35-EB-PEN,,3,2012,35
Employee Benefits: Pension Obligation Bonds,108344240.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,3,2012,35
Employee Benefits: Tool Allowance,91825.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Tool Allowance,35-EB-TA,,3,2012,35
Employee Benefits: Unemployment Compensation,4065842.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,3,2012,35
Employee Benefits: Anticipated Workforce Savings (1),0.0,2012,Actual,YTD,2012-03-31,Employee Benefits: Anticipated Workforce Savings,35-EB-AWS,,3,2012,35
Finance PGW Rental Reimbursement,0.0,2012,Actual,YTD,2012-03-31,Finance: PGW Reimbursement,35-PGW,,3,2012,35
Fire,133576355.0,2012,Actual,YTD,2012-03-31,Fire Department,13,Fire,3,2012,13
First Judicial District,86012320.0,2012,Actual,YTD,2012-03-31,First Judicial District,84,FJD,3,2012,84
Fleet Management,38242745.0,2012,Actual,YTD,2012-03-31,Office of Fleet Management,25,Fleet,3,2012,25
Fleet Management Vehicle Purchases,6288709.0,2012,Actual,YTD,2012-03-31,Fleet: Vehicle Lease/Purchases,25-V,,3,2012,25
Free Library,24752052.0,2012,Actual,YTD,2012-03-31,The Free Library of Philadelphia,52,Free Library,3,2012,52
Historical Commission,277153.0,2012,Actual,YTD,2012-03-31,Historical Commission,32,,3,2012,32
Hero Award,25000.0,2012,Actual,YTD,2012-03-31,Finance: Hero Scholarship Awards,35-HA,,3,2012,35
Human Relations Commission,1303191.0,2012,Actual,YTD,2012-03-31,Commission on Human Relations,54,Human Relations,3,2012,54
Human Services,34656016.0,2012,Actual,YTD,2012-03-31,Department of Human Services,22,DHS,3,2012,22
Indemnities,26549610.0,2012,Actual,YTD,2012-03-31,Finance: Indemnities,35-IN,,3,2012,35
Law,9548744.0,2012,Actual,YTD,2012-03-31,Law Department,44,Law,3,2012,44
Legal Services incl. Defender Association,37066187.0,2012,Actual,YTD,2012-03-31,MDO: Legal Services,10-LS,,3,2012,10
Licenses and Inspections,14734201.0,2012,Actual,YTD,2012-03-31,Department of Licenses and Inspections,26,L&I,3,2012,26
Managing Director (MDO),16151869.0,2012,Actual,YTD,2012-03-31,Managing Director's Office,10,MDO,3,2012,10
Mayor,2569683.0,2012,Actual,YTD,2012-03-31,Mayor's Office,05,Mayor,3,2012,05
Mayor Office of Arts and Culture,2603486.0,2012,Actual,YTD,2012-03-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,3,2012,58
Mayor Office of the Inspector General,901859.0,2012,Actual,YTD,2012-03-31,Office of the Inspector General,48,OIG,3,2012,48
Mayor Office of Labor Relations,366951.0,2012,Actual,YTD,2012-03-31,Labor,03,,3,2012,03
Mayor Scholarships,183000.0,2012,Actual,YTD,2012-03-31,Mayor's Office: Scholarships,05-S,,3,2012,05
Mayor's Office of Community Services,0.0,2012,Actual,YTD,2012-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2012,08
Mayor's Office of Transportation,461500.0,2012,Actual,YTD,2012-03-31,Mayor's Office of Transportation and Utilities,46,,3,2012,46
Mural Arts Program,828874.0,2012,Actual,YTD,2012-03-31,Mural Arts Program,50,Mural Arts,3,2012,50
Off. of Behavioral Hlth.& Intellectual Disability,13777095.0,2012,Actual,YTD,2012-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2012,15
Office of Housing and Comm. Developmt.,2520000.0,2012,Actual,YTD,2012-03-31,Office of Housing and Community Development,06,,3,2012,06
Office of Human Resources,3542711.0,2012,Actual,YTD,2012-03-31,Office of Human Resources,56,OHR,3,2012,56
Office of Innovation and Technology,48036195.0,2012,Actual,YTD,2012-03-31,Office of Innovation and Technology,04,OIT,3,2012,04
Office of Property Assessment,5450108.0,2012,Actual,YTD,2012-03-31,Office of Property Assessment,59,OPA,3,2012,59
Office of Supportive Housing,34021953.0,2012,Actual,YTD,2012-03-31,Office of Homeless Services,24,OHS,3,2012,24
Parks and Recreation,35723244.0,2012,Actual,YTD,2012-03-31,Department of Parks and Recreation,16,Parks & Recreation,3,2012,16
Police,387238892.0,2012,Actual,YTD,2012-03-31,Police Department,11,Police,3,2012,11
Prisons,192890469.0,2012,Actual,YTD,2012-03-31,Philadelphia Prison System,23,Prisons,3,2012,23
Procurement,2970135.0,2012,Actual,YTD,2012-03-31,Procurement Department,38,Procurement,3,2012,38
Public Health,93277884.0,2012,Actual,YTD,2012-03-31,Department of Public Health,14,Public Health,3,2012,14
Public Property,29254613.0,2012,Actual,YTD,2012-03-31,Department of Public Property,20,Public Property,3,2012,20
Public Property SEPTA Subsidy,49770000.0,2012,Actual,YTD,2012-03-31,Public Property: SEPTA Subsidy,20-SS,,3,2012,20
Public Property Space Rentals,16949068.0,2012,Actual,YTD,2012-03-31,Public Property: Space Rentals,20-SR,,3,2012,20
Public Property Utilities,32225954.0,2012,Actual,YTD,2012-03-31,Public Property: Utilities,20-U,,3,2012,20
Records,2866275.0,2012,Actual,YTD,2012-03-31,Department of Records,31,Records,3,2012,31
Refunds,362.0,2012,Actual,YTD,2012-03-31,Finance: Refunds,35-R,,3,2012,35
Register of Wills,2345017.0,2012,Actual,YTD,2012-03-31,Register of Wills,68,,3,2012,68
Revenue,13733547.0,2012,Actual,YTD,2012-03-31,Department of Revenue,36,Revenue,3,2012,36
Sheriff,11243655.0,2012,Actual,YTD,2012-03-31,Office of the Sheriff,70,Sheriff,3,2012,70
Sinking Fund (Debt Service),189581566.0,2012,Actual,YTD,2012-03-31,Sinking Fund Commission,37,Sinking Fund,3,2012,37
Streets,18032904.0,2012,Actual,YTD,2012-03-31,Streets Department,12,Streets,3,2012,12
Streets Sanitation,78909196.0,2012,Actual,YTD,2012-03-31,Streets: Sanitation,12-S,,3,2012,12
Witness Fees,113217.0,2012,Actual,YTD,2012-03-31,Finance: Witness Fees,35-WF,,3,2012,35
Youth Commission,35561.0,2012,Actual,YTD,2012-03-31,Youth Commission,47,,3,2012,47
Zoning Board of Adjustment,259124.0,2012,Actual,YTD,2012-03-31,Zoning Board of Adjustments,30,ZBA,3,2012,30
Zoning Code Commission,150124.0,2012,Actual,YTD,2012-03-31,Zoning Code Commission,57,,3,2012,57
Art Museum Subsidy,2300000.0,2012,Target Budget,Full Year,2012-03-31,Art Museum,34,,3,2012,34
Atwater Kent Museum,268630.0,2012,Target Budget,Full Year,2012-03-31,Atwater Kent Museum,18,Atwater Kent,3,2012,18
Auditing (City Controller's Office),7449931.0,2012,Target Budget,Full Year,2012-03-31,City Controller's Office,61,,3,2012,61
Board of Building Standards,70169.0,2012,Target Budget,Full Year,2012-03-31,L&I: Board of Building and Standards,29,,3,2012,29
Board of Ethics,854000.0,2012,Target Budget,Full Year,2012-03-31,Board of Ethics,45,,3,2012,45
Board of L & Review,152607.0,2012,Target Budget,Full Year,2012-03-31,L&I: Board of Review,27,,3,2012,27
Board of Revision of Taxes,708540.0,2012,Target Budget,Full Year,2012-03-31,Board of Revision of Taxes,63,BRT,3,2012,63
City Commissioners (Election Board),8922093.0,2012,Target Budget,Full Year,2012-03-31,City Commissioner's Office,73,City Commissioners,3,2012,73
City Council,15049272.0,2012,Target Budget,Full Year,2012-03-31,City Council,01,,3,2012,01
City Planning Commission,2212057.0,2012,Target Budget,Full Year,2012-03-31,City Planning Commission,51,,3,2012,51
City Representative,889611.0,2012,Target Budget,Full Year,2012-03-31,Office of the City Representative,41,City Rep,3,2012,41
City Treasurer,886605.0,2012,Target Budget,Full Year,2012-03-31,Office of the City Treasurer,40,City Treasurer,3,2012,40
Civil Service Commission,166903.0,2012,Target Budget,Full Year,2012-03-31,Civil Service Commission,55,,3,2012,55
Commerce,2331813.0,2012,Target Budget,Full Year,2012-03-31,Office of the Director of Commerce,42,Commerce,3,2012,42
Commerce-Economic Stimulus,1294448.0,2012,Target Budget,Full Year,2012-03-31,Commerce: Economic Stimulus,42-ES,,3,2012,42
Community College Subsidy,25409207.0,2012,Target Budget,Full Year,2012-03-31,Finance: Community College Subsidy,35-CC,,3,2012,35
Convention Center Subsidy,15000000.0,2012,Target Budget,Full Year,2012-03-31,Commerce: Convention Center Subsidy,42-CC,,3,2012,42
District Attorney,31054996.0,2012,Target Budget,Full Year,2012-03-31,District Attorney's Office,69,DAO,3,2012,69
Finance,12816087.0,2012,Target Budget,Full Year,2012-03-31,Office of the Director of Finance,35,Finance,3,2012,35
Finance Contribution to the School District,48930000.0,2012,Target Budget,Full Year,2012-03-31,Finance: School District Contribution,35-SD,,3,2012,35
Finance Employee Benefits,1027902609.0,2012,Target Budget,Full Year,2012-03-31,Finance: Employee Benefits,35-EB,Employee Benefits,3,2012,35
Employee Benefits: Employee Disability,55853503.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Employee Disability,35-EB-DIS,,3,2012,35
Employee Benefits: FICA,64945805.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: FICA,35-EB-FICA,,3,2012,35
Employee Benefits: Flex Cash Payments,1000000.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,3,2012,35
Employee Benefits: Group Legal,4133938.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Group Legal,35-EB-GL,,3,2012,35
Employee Benefits: Group Life Insurance,7690367.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,3,2012,35
Employee Benefits: Health / Medical,346140249.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Health/Medical,35-EB-HM,,3,2012,35
Employee Benefits: Pension,452250487.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Pension,35-EB-PEN,,3,2012,35
Employee Benefits: Pension Obligation Bonds,102075000.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,3,2012,35
Employee Benefits: Tool Allowance,100000.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Tool Allowance,35-EB-TA,,3,2012,35
Employee Benefits: Unemployment Compensation,5580260.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,3,2012,35
Employee Benefits: Anticipated Workforce Savings (1),-11867000.0,2012,Target Budget,Full Year,2012-03-31,Employee Benefits: Anticipated Workforce Savings,35-EB-AWS,,3,2012,35
Finance PGW Rental Reimbursement,0.0,2012,Target Budget,Full Year,2012-03-31,Finance: PGW Reimbursement,35-PGW,,3,2012,35
Fire,194031950.0,2012,Target Budget,Full Year,2012-03-31,Fire Department,13,Fire,3,2012,13
First Judicial District,116967323.0,2012,Target Budget,Full Year,2012-03-31,First Judicial District,84,FJD,3,2012,84
Fleet Management,49909814.0,2012,Target Budget,Full Year,2012-03-31,Office of Fleet Management,25,Fleet,3,2012,25
Fleet Management Vehicle Purchases,6289135.0,2012,Target Budget,Full Year,2012-03-31,Fleet: Vehicle Lease/Purchases,25-V,,3,2012,25
Free Library,33353362.0,2012,Target Budget,Full Year,2012-03-31,The Free Library of Philadelphia,52,Free Library,3,2012,52
Historical Commission,387784.0,2012,Target Budget,Full Year,2012-03-31,Historical Commission,32,,3,2012,32
Hero Award,25000.0,2012,Target Budget,Full Year,2012-03-31,Finance: Hero Scholarship Awards,35-HA,,3,2012,35
Human Relations Commission,1998475.0,2012,Target Budget,Full Year,2012-03-31,Commission on Human Relations,54,Human Relations,3,2012,54
Human Services,110108096.0,2012,Target Budget,Full Year,2012-03-31,Department of Human Services,22,DHS,3,2012,22
Indemnities,33957600.0,2012,Target Budget,Full Year,2012-03-31,Finance: Indemnities,35-IN,,3,2012,35
Law,14856860.0,2012,Target Budget,Full Year,2012-03-31,Law Department,44,Law,3,2012,44
Legal Services incl. Defender Association,37066187.0,2012,Target Budget,Full Year,2012-03-31,MDO: Legal Services,10-LS,,3,2012,10
Licenses and Inspections,21660905.0,2012,Target Budget,Full Year,2012-03-31,Department of Licenses and Inspections,26,L&I,3,2012,26
Managing Director (MDO),23050325.0,2012,Target Budget,Full Year,2012-03-31,Managing Director's Office,10,MDO,3,2012,10
Mayor,3711177.0,2012,Target Budget,Full Year,2012-03-31,Mayor's Office,05,Mayor,3,2012,05
Mayor Office of Arts and Culture,2670238.0,2012,Target Budget,Full Year,2012-03-31,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,3,2012,58
Mayor Office of the Inspector General,1255822.0,2012,Target Budget,Full Year,2012-03-31,Office of the Inspector General,48,OIG,3,2012,48
Mayor Office of Labor Relations,541368.0,2012,Target Budget,Full Year,2012-03-31,Labor,03,,3,2012,03
Mayor Scholarships,200000.0,2012,Target Budget,Full Year,2012-03-31,Mayor's Office: Scholarships,05-S,,3,2012,05
Mayor's Office of Community Services,0.0,2012,Target Budget,Full Year,2012-03-31,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2012,08
Mayor's Office of Transportation,470400.0,2012,Target Budget,Full Year,2012-03-31,Mayor's Office of Transportation and Utilities,46,,3,2012,46
Mural Arts Program,1000800.0,2012,Target Budget,Full Year,2012-03-31,Mural Arts Program,50,Mural Arts,3,2012,50
Off. of Behavioral Hlth.& Intellectual Disability,14271572.0,2012,Target Budget,Full Year,2012-03-31,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2012,15
Office of Housing and Comm. Developmt.,2520000.0,2012,Target Budget,Full Year,2012-03-31,Office of Housing and Community Development,06,,3,2012,06
Office of Human Resources,5123760.0,2012,Target Budget,Full Year,2012-03-31,Office of Human Resources,56,OHR,3,2012,56
